#doc source pos typeindex type topic
#alpha : 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 
#beta : 0.01
8 ../../../data/input/txt/1969_440_0.txt 19 139 head 94
8 ../../../data/input/txt/1969_440_0.txt 20 140 joyful 43
8 ../../../data/input/txt/1969_440_0.txt 21 123 sunrise 94
8 ../../../data/input/txt/1969_440_0.txt 22 141 precedes 43
8 ../../../data/input/txt/1969_440_0.txt 23 66 enamored 88
8 ../../../data/input/txt/1969_440_0.txt 24 113 day 94
8 ../../../data/input/txt/1969_440_0.txt 25 140 joyful 31
8 ../../../data/input/txt/1969_440_0.txt 26 133 meadow 94
8 ../../../data/input/txt/1969_440_0.txt 27 134 bird 9
8 ../../../data/input/txt/1969_440_0.txt 28 142 elegy 43
9 ../../../data/input/txt/1516_1015_0.txt 0 143 bobolink 30
9 ../../../data/input/txt/1516_1015_0.txt 1 144 reverse 30
9 ../../../data/input/txt/1516_1015_0.txt 2 145 singing 90
9 ../../../data/input/txt/1516_1015_0.txt 3 146 tree 81
9 ../../../data/input/txt/1516_1015_0.txt 4 147 minded 87
9 ../../../data/input/txt/1516_1015_0.txt 5 148 occupying 99
9 ../../../data/input/txt/1516_1015_0.txt 6 149 farmer 30
9 ../../../data/input/txt/1516_1015_0.txt 7 150 clove 30
9 ../../../data/input/txt/1516_1015_0.txt 8 151 root 30
9 ../../../data/input/txt/1516_1015_0.txt 9 152 spacious 30
9 ../../../data/input/txt/1516_1015_0.txt 10 153 future 30
9 ../../../data/input/txt/1516_1015_0.txt 11 154 horizon 23
9 ../../../data/input/txt/1516_1015_0.txt 12 155 brave 88
9 ../../../data/input/txt/1516_1015_0.txt 13 143 bobolink 30
9 ../../../data/input/txt/1516_1015_0.txt 14 135 music 30
9 ../../../data/input/txt/1516_1015_0.txt 15 156 anodyne 30
10 ../../../data/input/txt/1221_41_0.txt 0 157 sepal 98
10 ../../../data/input/txt/1221_41_0.txt 1 158 petal 26
10 ../../../data/input/txt/1221_41_0.txt 2 159 thorn 73
10 ../../../data/input/txt/1221_41_0.txt 3 160 opon 10
10 ../../../data/input/txt/1221_41_0.txt 4 161 common 10
10 ../../../data/input/txt/1221_41_0.txt 5 162 summer's 98
10 ../../../data/input/txt/1221_41_0.txt 6 163 morn 10
10 ../../../data/input/txt/1221_41_0.txt 7 164 flask 10
10 ../../../data/input/txt/1221_41_0.txt 8 165 dew 98
10 ../../../data/input/txt/1221_41_0.txt 9 166 bee 98
10 ../../../data/input/txt/1221_41_0.txt 10 167 breeze 98
10 ../../../data/input/txt/1221_41_0.txt 11 168 a'caper 10
10 ../../../data/input/txt/1221_41_0.txt 12 169 trees 43
10 ../../../data/input/txt/1221_41_0.txt 13 170 i'm 10
10 ../../../data/input/txt/1221_41_0.txt 14 171 rose 98
11 ../../../data/input/txt/1651_297_0.txt 0 172 tho 40
11 ../../../data/input/txt/1651_297_0.txt 1 92 home 92
11 ../../../data/input/txt/1651_297_0.txt 2 173 late 40
11 ../../../data/input/txt/1651_297_0.txt 3 173 late 40
11 ../../../data/input/txt/1651_297_0.txt 4 92 home 92
11 ../../../data/input/txt/1651_297_0.txt 5 174 twill 7
11 ../../../data/input/txt/1651_297_0.txt 6 175 compensate 97
11 ../../../data/input/txt/1651_297_0.txt 7 176 extasy 31
11 ../../../data/input/txt/1651_297_0.txt 8 177 expecting 40
11 ../../../data/input/txt/1651_297_0.txt 9 178 night 40
11 ../../../data/input/txt/1651_297_0.txt 10 179 descending 42
11 ../../../data/input/txt/1651_297_0.txt 11 180 dumb 13
11 ../../../data/input/txt/1651_297_0.txt 12 181 dark 62
11 ../../../data/input/txt/1651_297_0.txt 13 182 hear 17
11 ../../../data/input/txt/1651_297_0.txt 14 183 unexpected 42
11 ../../../data/input/txt/1651_297_0.txt 15 184 knock 72
11 ../../../data/input/txt/1651_297_0.txt 16 185 transporting 92
11 ../../../data/input/txt/1651_297_0.txt 17 186 moment 7
11 ../../../data/input/txt/1651_297_0.txt 18 187 brewed 97
11 ../../../data/input/txt/1651_297_0.txt 19 188 decades 97
11 ../../../data/input/txt/1651_297_0.txt 20 189 agony 42
11 ../../../data/input/txt/1651_297_0.txt 21 22 fire 42
11 ../../../data/input/txt/1651_297_0.txt 22 190 burn 31
11 ../../../data/input/txt/1651_297_0.txt 23 191 long-cheated 13
11 ../../../data/input/txt/1651_297_0.txt 24 192 eyes 40
11 ../../../data/input/txt/1651_297_0.txt 25 193 turn 97
11 ../../../data/input/txt/1651_297_0.txt 26 194 beguiles 60
11 ../../../data/input/txt/1651_297_0.txt 27 195 centuries 72
12 ../../../data/input/txt/1331_435_0.txt 0 196 weight 51
12 ../../../data/input/txt/1331_435_0.txt 1 197 needles 47
12 ../../../data/input/txt/1331_435_0.txt 2 198 pounds 47
12 ../../../data/input/txt/1331_435_0.txt 3 199 push 58
12 ../../../data/input/txt/1331_435_0.txt 4 200 pierce 64
12 ../../../data/input/txt/1331_435_0.txt 5 201 flesh 58
12 ../../../data/input/txt/1331_435_0.txt 6 202 resist 58
12 ../../../data/input/txt/1331_435_0.txt 7 203 heft 58
12 ../../../data/input/txt/1331_435_0.txt 8 204 puncture 54
12 ../../../data/input/txt/1331_435_0.txt 9 205 coolly 51
12 ../../../data/input/txt/1331_435_0.txt 10 206 pore 66
12 ../../../data/input/txt/1331_435_0.txt 11 207 overlooked 58
12 ../../../data/input/txt/1331_435_0.txt 12 208 compound 6
12 ../../../data/input/txt/1331_435_0.txt 13 209 frame 58
12 ../../../data/input/txt/1331_435_0.txt 14 210 manifold 58
12 ../../../data/input/txt/1331_435_0.txt 15 211 anguish 51
12 ../../../data/input/txt/1331_435_0.txt 16 212 species 47
13 ../../../data/input/txt/743_1744_0.txt 0 213 flake 97
13 ../../../data/input/txt/743_1744_0.txt 1 214 plotted 29
13 ../../../data/input/txt/743_1744_0.txt 2 215 time 97
13 ../../../data/input/txt/743_1744_0.txt 3 216 dispute 94
13 ../../../data/input/txt/743_1744_0.txt 4 217 unchanged 74
13 ../../../data/input/txt/743_1744_0.txt 5 218 urged 46
14 ../../../data/input/txt/1372_794_0.txt 0 219 heaven 68
14 ../../../data/input/txt/1372_794_0.txt 1 220 twas 3
14 ../../../data/input/txt/1372_794_0.txt 2 221 small 68
14 ../../../data/input/txt/1372_794_0.txt 3 222 town 88
15 ../../../data/input/txt/529_1408_0.txt 0 223 occupies 11
15 ../../../data/input/txt/529_1408_0.txt 1 224 house 11
15 ../../../data/input/txt/529_1408_0.txt 2 225 stranger 28
15 ../../../data/input/txt/529_1408_0.txt 3 226 judge 78
15 ../../../data/input/txt/529_1408_0.txt 4 227 circumstance 57
15 ../../../data/input/txt/529_1408_0.txt 5 7 tis 40
15 ../../../data/input/txt/529_1408_0.txt 6 228 age 68
15 ../../../data/input/txt/529_1408_0.txt 7 229 writ 1
15 ../../../data/input/txt/529_1408_0.txt 8 160 opon 27
15 ../../../data/input/txt/529_1408_0.txt 9 230 door 11
15 ../../../data/input/txt/529_1408_0.txt 10 231 fear 61
15 ../../../data/input/txt/529_1408_0.txt 11 232 pause 61
15 ../../../data/input/txt/529_1408_0.txt 12 233 honest 57
15 ../../../data/input/txt/529_1408_0.txt 13 234 dog 49
15 ../../../data/input/txt/529_1408_0.txt 14 235 approach 37
15 ../../../data/input/txt/529_1408_0.txt 15 236 encourages 61
15 ../../../data/input/txt/529_1408_0.txt 16 237 curious 92
15 ../../../data/input/txt/529_1408_0.txt 17 222 town 61
15 ../../../data/input/txt/529_1408_0.txt 18 238 houses 27
15 ../../../data/input/txt/529_1408_0.txt 19 239 newly 40
15 ../../../data/input/txt/529_1408_0.txt 20 51 raised 37
15 ../../../data/input/txt/529_1408_0.txt 21 240 afternoon 11
15 ../../../data/input/txt/529_1408_0.txt 22 241 compelled 40
15 ../../../data/input/txt/529_1408_0.txt 23 242 build 68
15 ../../../data/input/txt/529_1408_0.txt 24 243 inhabitants 61
15 ../../../data/input/txt/529_1408_0.txt 25 1 birds 61
15 ../../../data/input/txt/529_1408_0.txt 26 244 assemble 28
15 ../../../data/input/txt/529_1408_0.txt 27 245 boys 11
15 ../../../data/input/txt/529_1408_0.txt 28 246 born 27
15 ../../../data/input/txt/529_1408_0.txt 29 220 twas 3
15 ../../../data/input/txt/529_1408_0.txt 30 247 settled 61
15 ../../../data/input/txt/529_1408_0.txt 31 248 territory 1
15 ../../../data/input/txt/529_1408_0.txt 32 249 ghosts 28
15 ../../../data/input/txt/529_1408_0.txt 33 250 squirrels 27
15 ../../../data/input/txt/529_1408_0.txt 34 251 pioneer 28
15 ../../../data/input/txt/529_1408_0.txt 35 252 settlers 37
15 ../../../data/input/txt/529_1408_0.txt 36 253 liking 27
15 ../../../data/input/txt/529_1408_0.txt 37 254 quiet 1
15 ../../../data/input/txt/529_1408_0.txt 38 255 place 68
15 ../../../data/input/txt/529_1408_0.txt 39 256 attracted 61
15 ../../../data/input/txt/529_1408_0.txt 40 257 settlement 11
15 ../../../data/input/txt/529_1408_0.txt 41 258 capitol 95
15 ../../../data/input/txt/529_1408_0.txt 42 259 grown 28
15 ../../../data/input/txt/529_1408_0.txt 43 260 distinguished 61
15 ../../../data/input/txt/529_1408_0.txt 44 261 gravity 57
15 ../../../data/input/txt/529_1408_0.txt 45 262 citizen 37
15 ../../../data/input/txt/529_1408_0.txt 46 263 owner 58
15 ../../../data/input/txt/529_1408_0.txt 47 224 house 58
15 ../../../data/input/txt/529_1408_0.txt 48 225 stranger 28
15 ../../../data/input/txt/529_1408_0.txt 49 264 eternity's 61
15 ../../../data/input/txt/529_1408_0.txt 50 265 acquaintances 92
16 ../../../data/input/txt/261_1525_0.txt 0 266 witchcraft 51
16 ../../../data/input/txt/261_1525_0.txt 1 267 geometry 78
